idcompany,zone,count,companyname
1025,6,5,Company E
1025,8,3,Company E
1025,5,4,Company E
1025,1A,9,Company E
1025,3,9,Company E
1025,4,6,Company E
1025,1,5,Company E
1025,2,1,Company E
1110,1,4,Company F
1110,2,4,Company F
1110,3,10,Company F
1110,4,10,Company F
1110,1A,29,Company F
1110,6,3,Company F
1110,7,2,Company F
1110,8,4,Company F
1110,5,4,Company F
1136,3,14,Company N
1136,4,14,Company N
1136,6,15,Company N
1136,7,8,Company N
1136,8,2,Company N
1136,5,10,Company N
1136,1A,9,Company N
1136,2,29,Company N
1136,1,11,Company N
1709,1,13,Company B
1709,10,2,Company B
1709,2,12,Company B
1709,7,11,Company B
1709,8,8,Company B
1709,9,1,Company B
1709,5,13,Company B
1709,6,28,Company B
1709,3,12,Company B
1709,4,15,Company B
1762,2,20,Company L
1762,3,13,Company L
1762,1,14,Company L
1762,1A,17,Company L
1762,5,4,Company L
1762,6,18,Company L
1762,8,5,Company L
1762,4,16,Company L
1762,7,2,Company L
1783,2,9,Company M
1783,3,25,Company M
1783,1,13,Company M
1783,1A,2,Company M
1783,5,11,Company M
1783,6,31,Company M
1783,4,17,Company M
1783,8,13,Company M
1783,7,17,Company M
1801,8,13,Company K
1801,7,14,Company K
1801,3,18,Company K
1801,6,19,Company K
1801,1,6,Company K
1801,1A,10,Company K
1801,4,6,Company K
1801,5,5,Company K
1801,2,9,Company K
1801,9,1,Company K
1840,8,2,Company I
1840,1A,4,Company I
1840,1,3,Company I
1840,3,5,Company I
1840,4,6,Company I
1840,6,6,Company I
1840,7,3,Company I
1840,5,6,Company I
1840,2,9,Company I
1858,1,8,Company J
1858,1A,4,Company J
1858,3,23,Company J
1858,4,16,Company J
1858,5,7,Company J
1858,2,31,Company J
1858,7,8,Company J
1858,8,5,Company J
1858,9,1,Company J
1858,6,30,Company J
1904,1A,3,Company A
1904,2,14,Company A
1904,1,7,Company A
1904,5,7,Company A
1904,6,13,Company A
1904,3,8,Company A
1904,4,11,Company A
1904,8,2,Company A
1904,7,3,Company A
1968,5,1,Company H
1968,1A,3,Company H
1968,3,1,Company H
1968,8,1,Company H
2456,1,11,Company O
2456,1A,8,Company O
2456,2,14,Company O
2456,3,10,Company O
2456,4,18,Company O
2456,5,2,Company O
2456,6,7,Company O
2456,7,11,Company O
2456,8,3,Company O
3171,1,7,Company D
3171,1A,5,Company D
3171,2,12,Company D
3171,3,19,Company D
3171,4,9,Company D
3171,5,6,Company D
3171,6,14,Company D
3171,7,7,Company D
3171,8,5,Company D
3199,1,6,Company C
3199,10,1,Company C
3199,1A,1,Company C
3199,2,8,Company C
3199,3,7,Company C
3199,4,12,Company C
3199,5,8,Company C
3199,6,15,Company C
3199,7,12,Company C
3199,8,12,Company C
3199,9,1,Company C
3480,1,5,Company G
3480,1A,10,Company G
3480,2,11,Company G
3480,3,10,Company G
3480,4,7,Company G
3480,5,4,Company G
3480,6,6,Company G
3480,7,6,Company G
3480,8,2,Company G
3574,1A,3,Company Q
11078,1,2,Company P
11078,1A,2,Company P
11078,2,13,Company P
11078,3,10,Company P
11078,4,7,Company P
11078,5,9,Company P
11078,6,23,Company P
11078,7,10,Company P
11078,8,14,Company P
11078,9,1,Company P
